2021/07/13 15:10:01.856166 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 15:10:01.856474 [INFO] Log Publish not set, skipping...
2021/07/13 15:30:01.921749 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 15:30:01.922397 [INFO] Log Publish not set, skipping...
2021/07/13 15:50:01.965219 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 15:50:01.965513 [INFO] Log Publish not set, skipping...
2021/07/13 16:10:01.184778 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 16:10:01.185074 [INFO] Log Publish not set, skipping...
2021/07/13 16:30:01.228856 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 16:30:01.229168 [INFO] Log Publish not set, skipping...
2021/07/13 16:50:01.279607 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 16:50:01.279914 [INFO] Log Publish not set, skipping...
2021/07/13 17:10:01.408802 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 17:10:01.409102 [INFO] Log Publish not set, skipping...
2021/07/13 17:30:01.465293 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 17:30:01.465600 [INFO] Log Publish not set, skipping...
2021/07/13 17:50:01.509801 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 17:50:01.514695 [INFO] Log Publish not set, skipping...
2021/07/13 18:10:01.658048 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 18:10:01.663321 [INFO] Log Publish not set, skipping...
2021/07/13 18:30:01.713613 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 18:30:01.714213 [INFO] Log Publish not set, skipping...
2021/07/13 18:50:01.757720 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 18:50:01.758115 [INFO] Log Publish not set, skipping...
2021/07/13 19:10:01.964513 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/13 19:10:01.964819 [INFO] Log Publish not set, skipping...
2021/07/13 19:30:02.023088 [INFO] no eb envtier info file found, skip loading env tier info.
